genom
5
10
6
2
2
6
9
8
10
3
6
6
5
9
5
9
3
9
10
2
2
2
5
9
4
2
6
5
4
9
1
9
2
2
5
4
2
4
6
9
6
9
3
9
5
9
3
3
6
2
5
5
4
9
9
3
5
9
6
5
6
9
3
9
3
3
2
3
3
4
3
2
9
9
6
3
6
3
5
2
3
3
2
2
9
6
5
9
6
6
3
2
2
5
5
3
9
4
3
2
6
6
3
3
6
5
9
2
9
5
3
6
3
2
6
2
5
5
6
6
9
9
6
3
3
3
3
5
2
6
9
5
2
5
5
3
3
5
3
6
3
9
3
2
9
2
3
9
6
6
3
3
3
3
9
3
3
3
3
3
3
3
3
7
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
3
